2025-09-07 18:50:05.972 [http-nio-8080-exec-2] INFO  com.itheima.controller.StudentController-学生信息分页查询:StudentQueryParam(page=1, pageSize=10, name=, degree=null, clazzId=null)
2025-09-07 18:50:06.007 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2025-09-07 18:50:06.531 [http-nio-8080-exec-3] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:50:06.548 [http-nio-8080-exec-3] INFO  com.itheima.controller.ClazzController-分页查询班级信息，参数：ClazzQueryParam(page=1, pageSize=10, name=, begin=null, end=null)
2025-09-07 18:50:06.557 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@56bdd054
2025-09-07 18:50:06.559 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2025-09-07 18:50:06.862 [http-nio-8080-exec-4] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:50:06.866 [http-nio-8080-exec-4] INFO  com.itheima.controller.EmpController-查询所有班主任
2025-09-07 18:50:08.680 [http-nio-8080-exec-5] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:50:08.681 [http-nio-8080-exec-5] INFO  com.itheima.controller.ReportController-统计各个职位员工人数
2025-09-07 18:50:08.685 [http-nio-8080-exec-6] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:50:08.685 [http-nio-8080-exec-6] INFO  com.itheima.controller.ReportController-统计员工性别数据
2025-09-07 18:50:20.552 [http-nio-8080-exec-7] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:50:20.553 [http-nio-8080-exec-7] INFO  com.itheima.controller.ClazzController-分页查询班级信息，参数：ClazzQueryParam(page=1, pageSize=10, name=, begin=null, end=null)
2025-09-07 18:50:20.568 [http-nio-8080-exec-8] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:50:20.568 [http-nio-8080-exec-8] INFO  com.itheima.controller.EmpController-查询所有班主任
2025-09-07 18:50:21.243 [http-nio-8080-exec-10] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:50:21.243 [http-nio-8080-exec-9] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:50:21.243 [http-nio-8080-exec-9] INFO  com.itheima.controller.ClazzController-查询所有班级信息
2025-09-07 18:50:21.244 [http-nio-8080-exec-10] INFO  com.itheima.controller.StudentController-学生信息分页查询:StudentQueryParam(page=1, pageSize=10, name=, degree=null, clazzId=null)
2025-09-07 18:50:22.013 [http-nio-8080-exec-3] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:50:22.013 [http-nio-8080-exec-1] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:50:22.013 [http-nio-8080-exec-3] INFO  com.itheima.controller.EmpController-查询所有班主任
2025-09-07 18:50:22.014 [http-nio-8080-exec-1] INFO  com.itheima.controller.ClazzController-分页查询班级信息，参数：ClazzQueryParam(page=1, pageSize=10, name=, begin=null, end=null)
2025-09-07 18:51:00.160 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Commencing graceful shutdown. Waiting for active requests to complete
2025-09-07 18:51:00.165 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Graceful shutdown complete
2025-09-07 18:51:00.169 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown initiated...
2025-09-07 18:51:00.176 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown completed.
2025-09-07 18:51:14.418 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 21.0.2 with PID 14868 (E:\Project\BackEnd_learning\web-code\web-ai-project02\tlias-web-management\target\classes started by Dell in E:\Project\BackEnd_learning\web-code\web-ai-project02)
2025-09-07 18:51:14.420 [main] INFO  com.itheima.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2025-09-07 18:51:15.166 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-09-07 18:51:15.177 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-09-07 18:51:15.179 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-09-07 18:51:15.179 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-09-07 18:51:15.217 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-09-07 18:51:15.217 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 768 ms
2025-09-07 18:51:15.832 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-09-07 18:51:15.844 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-09-07 18:51:15.850 [main] INFO  com.itheima.TliasWebManagementApplication-Started TliasWebManagementApplication in 1.713 seconds (process running for 2.211)
2025-09-07 18:51:23.150 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-09-07 18:51:23.150 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-09-07 18:51:23.150 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 0 ms
2025-09-07 18:51:23.162 [http-nio-8080-exec-1] INFO  com.itheima.interceptor.TokenInterceptor-获取到jwt令牌为空, 返回错误结果
2025-09-07 18:52:02.378 [http-nio-8080-exec-3] INFO  com.itheima.controller.LoginController-登录信息：Emp(id=null, username=wuyong, password=123456, name=null, gender=null, phone=null, job=null, salary=null, image=null, entryDate=null, deptId=null, createTime=null, updateTime=null, deptName=null, exprList=null)
2025-09-07 18:52:02.447 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2025-09-07 18:52:03.107 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@639478d2
2025-09-07 18:52:03.113 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2025-09-07 18:52:05.229 [http-nio-8080-exec-4] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:52:05.229 [http-nio-8080-exec-5] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:52:05.231 [http-nio-8080-exec-4] INFO  com.itheima.controller.ReportController-统计学生学历数据
2025-09-07 18:52:05.231 [http-nio-8080-exec-5] INFO  com.itheima.controller.ReportController-统计学生数量数据
2025-09-07 18:52:07.420 [http-nio-8080-exec-7] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:52:07.420 [http-nio-8080-exec-6] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:52:07.422 [http-nio-8080-exec-7] INFO  com.itheima.controller.ClazzController-查询所有班级信息
2025-09-07 18:52:07.440 [http-nio-8080-exec-6] INFO  com.itheima.controller.StudentController-学生信息分页查询:StudentQueryParam(page=1, pageSize=10, name=, degree=null, clazzId=null)
2025-09-07 18:52:08.126 [http-nio-8080-exec-9] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
